Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45383,0.46,28.58,24.48,1442.47
45383.02083,0.5,28.54,24.48,1442.6
45383.04167,0.5,28.54,24.48,1442.6
45383.0625,0.5,28.54,24.48,1442.6
45383.08333,0.46,28.6,24.5,1442.5
45383.10417,0.5,28.54,24.48,1442.6
45383.125,0.5,28.58,24.51,1442.66
45383.14583,0.5,28.58,24.51,1442.66
45383.16667,0.5,28.58,24.51,1442.66
45383.1875,0.5,28.58,24.51,1442.66
45383.20833,0.5,28.56,24.49,1442.63
45383.22917,0.5,28.58,24.51,1442.66
45383.25,0.5,28.56,24.49,1442.63
45383.27083,0.5,28.54,24.48,1442.6
45383.29167,0.5,28.54,24.48,1442.6
45383.3125,0.5,28.54,24.48,1442.6
45383.33333,0.5,28.52,24.46,1442.58
45383.35417,0.5,28.5,24.45,1442.55
45383.375,0.5,28.54,24.48,1442.6
45383.39583,0.5,28.52,24.46,1442.58
45383.41667,0.5,28.54,24.48,1442.6
45383.4375,0.5,28.52,24.46,1442.58
45383.45833,0.5,28.54,24.48,1442.6
45383.47917,0.54,28.5,24.48,1442.74
45383.5,0.54,28.5,24.48,1442.74
45383.52083,0.54,28.5,24.48,1442.74
45383.54167,0.54,28.46,24.45,1442.68
45383.5625,0.54,28.48,24.46,1442.71
45383.58333,0.62,28.5,24.54,1443.11
45383.60417,0.62,28.5,24.54,1443.11
45383.625,0.66,28.55,24.6,1443.35
45383.64583,0.7,28.57,24.65,1443.56
45383.66667,0.7,28.55,24.63,1443.53
45383.6875,0.62,28.54,24.57,1443.16
45383.70833,0.58,28.56,24.56,1443
45383.72917,0.58,28.56,24.56,1443
45383.75,0.58,28.52,24.52,1442.95
45383.77083,0.54,28.56,24.52,1442.82
45383.79167,0.58,28.54,24.54,1442.98
45383.8125,0.62,28.54,24.57,1443.16
45383.83333,0.7,28.53,24.61,1443.51
45383.85417,0.7,28.53,24.61,1443.51
45383.875,0.7,28.53,24.61,1443.51
45383.89583,0.7,28.51,24.6,1443.48
45383.91667,0.7,28.49,24.58,1443.45
45383.9375,0.7,28.51,24.6,1443.48
45383.95833,0.7,28.47,24.57,1443.42
45383.97917,0.7,28.47,24.57,1443.42
45384,0.7,28.45,24.55,1443.4
45384.02083,0.7,28.41,24.52,1443.34
45384.04167,0.66,28.43,24.51,1443.19
45384.0625,0.66,28.41,24.49,1443.16
45384.08333,0.7,28.39,24.5,1443.32
45384.10417,0.66,28.41,24.49,1443.16
45384.125,0.7,28.53,24.61,1443.51
45384.14583,0.7,28.53,24.61,1443.51
45384.16667,0.7,28.53,24.61,1443.51
45384.1875,0.7,28.53,24.61,1443.51
45384.20833,0.7,28.55,24.63,1443.53
45384.22917,0.7,28.51,24.6,1443.48
45384.25,0.7,28.51,24.6,1443.48
45384.27083,0.74,28.51,24.63,1443.66
45384.29167,0.7,28.51,24.6,1443.48
45384.3125,0.7,28.47,24.57,1443.42
45384.33333,0.78,28.47,24.63,1443.79
45384.35417,0.82,28.45,24.64,1443.95
45384.375,0.82,28.45,24.64,1443.95
45384.39583,0.78,28.43,24.6,1443.74
45384.41667,0.78,28.31,24.5,1443.58
45384.4375,0.74,28.33,24.49,1443.42
45384.45833,0.78,28.27,24.47,1443.53
45384.47917,0.82,28.25,24.48,1443.68
45384.5,0.86,28.18,24.45,1443.76
45384.52083,0.86,28.2,24.47,1443.79
45384.54167,0.89,28.16,24.47,1443.92
45384.5625,0.93,28.12,24.46,1444.05
45384.58333,0.93,28.12,24.46,1444.05
45384.60417,0.93,28.1,24.45,1444.02
45384.625,0.97,28.06,24.45,1444.16
45384.64583,0.97,28.06,24.45,1444.16
45384.66667,0.97,28.08,24.46,1444.18
45384.6875,0.97,28.08,24.46,1444.18
45384.70833,1.05,28.09,24.52,1444.55
45384.72917,1.05,28.07,24.51,1444.52
45384.75,1.05,28.09,24.52,1444.55
45384.77083,1.09,28.09,24.55,1444.73
45384.79167,0.93,28.18,24.51,1444.13
45384.8125,0.82,28.25,24.48,1443.68
45384.83333,0.78,28.27,24.47,1443.53
45384.85417,0.78,28.27,24.47,1443.53
45384.875,0.78,28.27,24.47,1443.53
45384.89583,0.82,28.21,24.45,1443.63
45384.91667,0.82,28.21,24.45,1443.63
45384.9375,0.82,28.21,24.45,1443.63
45384.95833,0.58,28.42,24.45,1442.82
45384.97917,0.54,28.46,24.45,1442.68
45385,0.54,28.44,24.43,1442.66
45385.02083,0.58,28.38,24.41,1442.76
45385.04167,0.58,28.38,24.41,1442.76
45385.0625,0.62,28.36,24.43,1442.92
45385.08333,0.62,28.36,24.43,1442.92
45385.10417,0.62,28.34,24.41,1442.89
45385.125,0.62,28.32,24.4,1442.87
45385.14583,0.62,28.28,24.37,1442.81
45385.16667,0.62,28.3,24.38,1442.84
45385.1875,0.62,28.28,24.37,1442.81
45385.20833,0.62,28.32,24.4,1442.87
45385.22917,0.62,28.3,24.38,1442.84
45385.25,0.62,28.3,24.38,1442.84
45385.27083,0.62,28.32,24.4,1442.87
45385.29167,0.62,28.32,24.4,1442.87
45385.3125,0.58,28.36,24.4,1442.74
45385.33333,0.58,28.34,24.38,1442.71
45385.35417,0.58,28.32,24.37,1442.68
45385.375,0.58,28.32,24.37,1442.68
45385.39583,0.58,28.3,24.35,1442.66
45385.41667,0.58,28.3,24.35,1442.66
45385.4375,0.58,28.32,24.37,1442.68
45385.45833,0.58,28.26,24.32,1442.6
45385.47917,0.58,28.36,24.4,1442.74
45385.5,0.58,28.3,24.35,1442.66
45385.52083,0.58,28.26,24.32,1442.6
45385.54167,0.58,28.58,24.57,1443.03
45385.5625,0.62,28.4,24.46,1442.97
45385.58333,0.62,28.44,24.49,1443.03
45385.60417,0.66,28.51,24.57,1443.29
45385.625,0.66,28.49,24.55,1443.27
45385.64583,0.66,28.55,24.6,1443.35
45385.66667,0.7,28.49,24.58,1443.45
45385.6875,0.7,28.49,24.58,1443.45
45385.70833,0.7,28.47,24.57,1443.42
45385.72917,0.74,28.45,24.58,1443.58
45385.75,0.74,28.43,24.57,1443.56
45385.77083,0.7,28.47,24.57,1443.42
45385.79167,0.7,28.47,24.57,1443.42
45385.8125,0.7,28.45,24.55,1443.4
45385.83333,0.66,28.51,24.57,1443.29
45385.85417,0.66,28.51,24.57,1443.29
45385.875,0.66,28.51,24.57,1443.29
45385.89583,0.66,28.51,24.57,1443.29
45385.91667,0.66,28.51,24.57,1443.29
45385.9375,0.66,28.51,24.57,1443.29
45385.95833,0.66,28.49,24.55,1443.27
45385.97917,0.66,28.47,24.54,1443.24
45386,0.66,28.49,24.55,1443.27
45386.02083,0.62,28.52,24.55,1443.13
45386.04167,0.62,28.52,24.55,1443.13
45386.0625,0.62,28.5,24.54,1443.11
45386.08333,0.62,28.48,24.52,1443.08
45386.10417,0.62,28.5,24.54,1443.11
45386.125,0.62,28.5,24.54,1443.11
45386.14583,0.62,28.5,24.54,1443.11
45386.16667,0.62,28.5,24.54,1443.11
45386.1875,0.62,28.5,24.54,1443.11
45386.20833,0.58,28.52,24.52,1442.95
45386.22917,0.58,28.54,24.54,1442.98
45386.25,0.58,28.54,24.54,1442.98
45386.27083,0.58,28.54,24.54,1442.98
45386.29167,0.58,28.52,24.52,1442.95
45386.3125,0.58,28.54,24.54,1442.98
45386.33333,0.58,28.54,24.54,1442.98
45386.35417,0.54,28.56,24.52,1442.82
45386.375,0.54,28.56,24.52,1442.82
45386.39583,0.58,28.54,24.54,1442.98
45386.41667,0.54,28.56,24.52,1442.82
45386.4375,0.58,28.54,24.54,1442.98
45386.45833,0.58,28.58,24.57,1443.03
45386.47917,0.62,28.56,24.59,1443.19
45386.5,0.38,28.72,24.53,1442.29
45386.52083,0.38,28.68,24.5,1442.23
45386.54167,0.34,28.72,24.5,1442.1
45386.5625,0.3,28.75,24.5,1441.97
45386.58333,0.26,28.73,24.46,1441.75
45386.60417,0.22,28.77,24.46,1441.62
45386.625,0.22,28.71,24.41,1441.54
45386.64583,0.18,28.69,24.36,1441.32
45386.66667,0.18,28.71,24.38,1441.35
45386.6875,0.18,28.71,24.38,1441.35
45386.70833,0.18,28.69,24.36,1441.32
45386.72917,0.18,28.71,24.38,1441.35
45386.75,0.14,28.73,24.37,1441.19
45386.77083,0.14,28.73,24.37,1441.19
45386.79167,0.14,28.71,24.35,1441.16
45386.8125,0.14,28.69,24.33,1441.14
45386.83333,0.1,28.73,24.34,1441
45386.85417,0.1,28.71,24.32,1440.97
45386.875,0.1,28.75,24.35,1441.03
45386.89583,0.1,28.75,24.35,1441.03
45386.91667,0.06,28.75,24.32,1440.84
45386.9375,0.06,28.77,24.34,1440.87
45386.95833,0.06,28.77,24.34,1440.87
45386.97917,0.06,28.75,24.32,1440.84
45387,0.06,28.77,24.34,1440.87
45387.02083,0.1,28.69,24.31,1440.95
45387.04167,0.22,29.18,24.77,1442.17
45387.0625,0.22,28.98,24.61,1441.89
45387.08333,0.26,29.21,24.82,1442.38
45387.10417,0.3,29.17,24.82,1442.52
45387.125,0.3,28.65,24.42,1441.83
45387.14583,0.34,29.23,24.9,1442.79
45387.16667,0.26,29.21,24.82,1442.38
45387.1875,0.3,29.17,24.82,1442.52
45387.20833,0.26,28.96,24.63,1442.05
45387.22917,0.3,28.67,24.44,1441.86
45387.25,0.3,29.14,24.8,1442.49
45387.27083,0.34,28.84,24.59,1442.26
45387.29167,0.34,28.67,24.47,1442.05
45387.3125,0.3,29.23,24.87,1442.6
45387.33333,0.26,29.16,24.79,1442.33
45387.35417,0.3,28.8,24.53,1442.02
45387.375,0.3,28.73,24.49,1441.94
45387.39583,0.34,29.33,24.98,1442.93
45387.41667,0.34,28.76,24.53,1442.15
45387.4375,0.34,29.21,24.88,1442.76
45387.45833,0.34,29.31,24.97,1442.9
45387.47917,0.34,28.72,24.5,1442.1
45387.5,0.26,28.73,24.46,1441.75
45387.52083,0.18,29.29,24.82,1442.12
45387.54167,0.18,28.77,24.43,1441.43
45387.5625,0.14,29.26,24.78,1441.9
45387.58333,0.14,29.24,24.76,1441.88
45387.60417,0.14,28.85,24.46,1441.35
45387.625,0.14,29.41,24.89,1442.1
45387.64583,0.14,29.33,24.83,1441.99
45387.66667,0.14,29.39,24.87,1442.07
45387.6875,0.1,29.32,24.8,1441.8
45387.70833,0.1,29.43,24.88,1441.94
45387.72917,0.1,29.3,24.78,1441.77
45387.75,0.1,29.16,24.67,1441.58
45387.77083,0.1,29.43,24.88,1441.94
45387.79167,0.1,29.41,24.86,1441.91
45387.8125,0.06,29.41,24.83,1441.72
45387.83333,0.06,29.28,24.73,1441.55
45387.85417,0.01,29.47,24.85,1441.62
45387.875,0.01,29.47,24.85,1441.62
45387.89583,-0.03,29.49,24.83,1441.45
45387.91667,-0.03,29.47,24.82,1441.43
45387.9375,0.01,29.43,24.81,1441.56
45387.95833,0.01,29.43,24.81,1441.56
45387.97917,0.01,29.41,24.8,1441.53
45388,0.01,29.43,24.81,1441.56
45388.02083,0.01,29.41,24.8,1441.53
45388.04167,0.01,29.41,24.8,1441.53
45388.0625,0.01,29.41,24.8,1441.53
45388.08333,0.01,29.41,24.8,1441.53
45388.10417,0.01,29.36,24.77,1441.48
45388.125,0.01,29.38,24.78,1441.5
45388.14583,-0.03,29.47,24.82,1441.43
45388.16667,-0.03,29.4,24.77,1441.34
45388.1875,-0.07,29.42,24.75,1441.18
45388.20833,-0.07,29.49,24.8,1441.26
45388.22917,-0.07,29.45,24.77,1441.21
45388.25,-0.07,29.47,24.78,1441.24
45388.27083,-0.07,29.47,24.78,1441.24
45388.29167,-0.07,29.47,24.78,1441.24
45388.3125,-0.07,29.4,24.74,1441.15
45388.33333,-0.07,29.49,24.8,1441.26
45388.35417,-0.11,29.49,24.77,1441.07
45388.375,-0.11,29.51,24.79,1441.1
45388.39583,-0.11,29.47,24.75,1441.05
45388.41667,-0.11,29.51,24.79,1441.1
45388.4375,-0.11,29.51,24.79,1441.1
45388.45833,-0.11,29.51,24.79,1441.1
45388.47917,-0.11,29.51,24.79,1441.1
45388.5,-0.11,29.49,24.77,1441.07
45388.52083,-0.11,29.49,24.77,1441.07
45388.54167,-0.11,29.49,24.77,1441.07
45388.5625,-0.15,29.55,24.79,1440.97
45388.58333,-0.15,29.51,24.76,1440.91
45388.60417,-0.11,29.49,24.77,1441.07
45388.625,-0.15,29.51,24.76,1440.91
45388.64583,-0.11,29.47,24.75,1441.05
45388.66667,-0.11,29.32,24.64,1440.85
45388.6875,-0.11,29.53,24.8,1441.13
45388.70833,-0.11,29.42,24.72,1440.99
45388.72917,-0.11,29.49,24.77,1441.07
45388.75,-0.07,28.91,24.36,1440.49
45388.77083,-0.07,29.28,24.64,1440.98
45388.79167,-0.07,29.42,24.75,1441.18
45388.8125,-0.07,29.22,24.59,1440.9
45388.83333,-0.07,29.45,24.77,1441.21
45388.85417,-0.07,29.34,24.69,1441.07
45388.875,-0.07,29.4,24.74,1441.15
45388.89583,-0.11,29.51,24.79,1441.1
45388.91667,-0.11,29.49,24.77,1441.07
45388.9375,-0.07,29.45,24.77,1441.21
45388.95833,-0.11,29.53,24.8,1441.13
45388.97917,-0.11,29.42,24.72,1440.99
45389,-0.07,29.47,24.78,1441.24
45389.02083,-0.07,29.53,24.83,1441.32
45389.04167,-0.03,29.47,24.82,1441.43
45389.0625,-0.07,29.51,24.82,1441.29
45389.08333,-0.07,29.53,24.83,1441.32
45389.10417,-0.07,29.51,24.82,1441.29
45389.125,-0.03,29.49,24.83,1441.45
45389.14583,0.06,29.22,24.68,1441.47
45389.16667,0.06,29.49,24.89,1441.83
45389.1875,0.1,29.47,24.91,1441.99
45389.20833,0.06,29.49,24.89,1441.83
45389.22917,0.1,29.47,24.91,1441.99
45389.25,0.1,29.47,24.91,1441.99
45389.27083,0.1,29.47,24.91,1441.99
45389.29167,0.06,29.47,24.88,1441.81
45389.3125,0.06,29.49,24.89,1441.83
45389.33333,0.06,29.49,24.89,1441.83
45389.35417,0.06,29.51,24.91,1441.86
45389.375,0.06,29.49,24.89,1441.83
45389.39583,0.06,29.49,24.89,1441.83
45389.41667,0.06,29.49,24.89,1441.83
45389.4375,0.01,29.47,24.85,1441.62
45389.45833,-0.03,29.55,24.88,1441.54
45389.47917,-0.03,29.55,24.88,1441.54
45389.5,-0.03,29.55,24.88,1441.54
45389.52083,-0.03,29.55,24.88,1441.54
45389.54167,0.01,29.53,24.89,1441.7
45389.5625,0.01,29.53,24.89,1441.7
45389.58333,0.06,29.53,24.93,1441.89
45389.60417,0.06,29.55,24.94,1441.92
45389.625,0.1,29.56,24.97,1442.11
45389.64583,0.1,29.56,24.97,1442.11
45389.66667,0.1,29.56,24.97,1442.11
45389.6875,0.14,29.52,24.97,1442.24
45389.70833,0.14,29.52,24.97,1442.24
45389.72917,0.14,29.52,24.97,1442.24
45389.75,0.14,29.49,24.96,1442.21
45389.77083,0.14,29.54,24.99,1442.27
45389.79167,0.18,28.43,24.16,1440.98
45389.8125,0.18,28.65,24.33,1441.27
45389.83333,0.22,28.33,24.12,1441.03
45389.85417,0.22,29.56,25.07,1442.68
45389.875,0.22,29.56,25.07,1442.68
45389.89583,0.22,29.56,25.07,1442.68
45389.91667,0.26,29.52,25.07,1442.81
45389.9375,0.26,29.54,25.08,1442.84
45389.95833,0.3,29.5,25.08,1442.97
45389.97917,0.3,29.5,25.08,1442.97
45390,0.3,29.5,25.08,1442.97
45390.02083,0.3,29.46,25.05,1442.91
45390.04167,0.3,29.48,25.06,1442.94
45390.0625,0.3,29.46,25.05,1442.91
45390.08333,0.26,29.5,25.05,1442.78
45390.10417,0.3,29.46,25.05,1442.91
45390.125,0.3,29.46,25.05,1442.91
45390.14583,0.3,29.48,25.06,1442.94
45390.16667,0.34,29.44,25.06,1443.07
45390.1875,0.34,29.46,25.08,1443.1
45390.20833,0.34,29.46,25.08,1443.1
45390.22917,0.34,29.44,25.06,1443.07
45390.25,0.34,29.46,25.08,1443.1
45390.27083,0.38,29.42,25.08,1443.23
45390.29167,0.34,29.46,25.08,1443.1
45390.3125,0.34,29.48,25.1,1443.13
45390.33333,0.38,29.44,25.09,1443.26
45390.35417,0.38,29.46,25.11,1443.29
45390.375,0.38,29.42,25.08,1443.23
45390.39583,0.38,29.42,25.08,1443.23
45390.41667,0.38,29.4,25.06,1443.2
45390.4375,0.38,29.42,25.08,1443.23
45390.45833,0.38,29.42,25.08,1443.23
45390.47917,0.38,29.42,25.08,1443.23
45390.5,0.38,29.4,25.06,1443.2
45390.52083,0.38,29.38,25.05,1443.17
45390.54167,0.38,29.38,25.05,1443.17
45390.5625,0.38,29.38,25.05,1443.17
45390.58333,0.38,29.42,25.08,1443.23
45390.60417,0.42,29.38,25.08,1443.36
45390.625,0.42,29.38,25.08,1443.36
45390.64583,0.42,29.38,25.08,1443.36
45390.66667,0.46,29.36,25.09,1443.52
45390.6875,0.46,29.38,25.11,1443.55
45390.70833,0.5,29.39,25.14,1443.73
45390.72917,0.46,29.41,25.13,1443.58
45390.75,0.46,29.36,25.09,1443.52
45390.77083,0.46,29.36,25.09,1443.52
45390.79167,0.42,29.36,25.06,1443.33
45390.8125,0.42,29.34,25.04,1443.3
45390.83333,0.38,29.34,25.01,1443.12
45390.85417,0.42,29.32,25.03,1443.28
45390.875,0.42,29.32,25.03,1443.28
45390.89583,0.42,29.3,25.01,1443.25
45390.91667,0.42,29.28,24.99,1443.22
45390.9375,0.42,29.28,24.99,1443.22
45390.95833,0.42,29.28,24.99,1443.22
45390.97917,0.46,29.24,24.99,1443.35
45391,0.46,29.24,24.99,1443.35
45391.02083,0.5,29.24,25.02,1443.54
45391.04167,0.5,29.24,25.02,1443.54
45391.0625,0.5,29.22,25.01,1443.51
45391.08333,0.46,29.24,24.99,1443.35
45391.10417,0.46,29.22,24.98,1443.32
45391.125,0.46,29.22,24.98,1443.32
45391.14583,0.46,29.19,24.96,1443.29
45391.16667,0.5,29.2,24.99,1443.48
45391.1875,0.5,29.2,24.99,1443.48
45391.20833,0.54,29.2,25.02,1443.67
45391.22917,0.66,29.14,25.07,1444.14
45391.25,0.7,29.13,25.08,1444.3
45391.27083,0.62,29.16,25.05,1443.99
45391.29167,0.62,29.14,25.04,1443.96
45391.3125,0.62,29.14,25.04,1443.96
45391.33333,0.58,29.16,25.02,1443.8
45391.35417,0.62,29.14,25.04,1443.96
45391.375,0.62,29.16,25.05,1443.99
45391.39583,0.66,29.14,25.07,1444.14
45391.41667,0.7,29.08,25.05,1444.25
45391.4375,0.7,29.15,25.1,1444.33
45391.45833,0.74,28.98,25,1444.29
45391.47917,0.74,29.04,25.05,1444.38
45391.5,0.74,29.13,25.12,1444.49
45391.52083,0.74,29.11,25.1,1444.46
45391.54167,0.74,28.9,24.93,1444.18
45391.5625,0.74,29.13,25.12,1444.49
45391.58333,0.74,29.11,25.1,1444.46
45391.60417,0.74,29.19,25.16,1444.57
45391.625,0.74,28.67,24.76,1443.88
45391.64583,0.74,28.8,24.85,1444.04
45391.66667,0.7,29.19,25.13,1444.39
45391.6875,0.7,29.02,25,1444.16
45391.70833,0.7,29.19,25.13,1444.39
45391.72917,0.7,29.17,25.12,1444.36
45391.75,0.7,29.04,25.02,1444.19
45391.77083,0.7,29.15,25.1,1444.33
45391.79167,0.78,29.17,25.18,1444.73
45391.8125,0.78,29.13,25.15,1444.67
45391.83333,0.82,28.99,25.06,1444.66
45391.85417,0.82,29.13,25.18,1444.86
45391.875,0.82,29.11,25.16,1444.83
45391.89583,0.82,29.11,25.16,1444.83
45391.91667,0.82,29.11,25.16,1444.83
45391.9375,0.86,29.09,25.18,1444.99
45391.95833,0.86,29.05,25.14,1444.93
45391.97917,0.82,29.11,25.16,1444.83
45392,0.86,29.07,25.16,1444.96
45392.02083,0.82,29.09,25.15,1444.8
45392.04167,0.82,29.09,25.15,1444.8
45392.0625,0.74,29.13,25.12,1444.49
45392.08333,0.74,29.13,25.12,1444.49
45392.10417,0.74,29.15,25.13,1444.51
45392.125,0.74,29.17,25.15,1444.54
45392.14583,0.74,29.17,25.15,1444.54
45392.16667,0.74,29.17,25.15,1444.54
45392.1875,0.78,29.13,25.15,1444.67
45392.20833,0.82,29.13,25.18,1444.86
45392.22917,0.78,29.17,25.18,1444.73
45392.25,0.82,29.13,25.18,1444.86
45392.27083,0.82,29.13,25.18,1444.86
45392.29167,0.82,29.11,25.16,1444.83
45392.3125,0.82,29.11,25.16,1444.83
45392.33333,0.82,29.09,25.15,1444.8
45392.35417,0.86,29.07,25.16,1444.96
45392.375,0.89,29.06,25.18,1445.12
45392.39583,0.93,29.02,25.17,1445.24
45392.41667,0.97,29,25.19,1445.4
45392.4375,1.01,28.96,25.19,1445.53
45392.45833,1.05,28.94,25.2,1445.69
45392.47917,1.09,28.91,25.2,1445.81
45392.5,1.13,28.91,25.23,1446
45392.52083,1.13,28.89,25.22,1445.97
45392.54167,1.13,28.91,25.23,1446
45392.5625,1.17,28.87,25.23,1446.12
45392.58333,1.21,28.85,25.25,1446.28
45392.60417,1.21,28.85,25.25,1446.28
45392.625,1.17,28.87,25.23,1446.12
45392.64583,1.13,28.87,25.2,1445.94
45392.66667,1.09,28.91,25.2,1445.81
45392.6875,1.09,28.91,25.2,1445.81
45392.70833,1.09,28.91,25.2,1445.81
45392.72917,1.09,28.86,25.17,1445.76
45392.75,1.09,28.88,25.19,1445.79
45392.77083,1.09,28.91,25.2,1445.81
45392.79167,1.09,28.91,25.2,1445.81
45392.8125,1.09,28.88,25.19,1445.79
45392.83333,1.09,28.91,25.2,1445.81
45392.85417,1.13,28.87,25.2,1445.94
45392.875,1.17,28.87,25.23,1446.12
45392.89583,1.17,28.89,25.25,1446.15
45392.91667,1.17,28.85,25.22,1446.1
45392.9375,1.17,28.87,25.23,1446.12
45392.95833,1.17,28.89,25.25,1446.15
45392.97917,1.13,28.89,25.22,1445.97
45393,1.13,28.89,25.22,1445.97
45393.02083,1.13,28.89,25.22,1445.97
45393.04167,1.09,28.91,25.2,1445.81
45393.0625,1.09,28.91,25.2,1445.81
45393.08333,1.09,28.91,25.2,1445.81
45393.10417,1.05,28.92,25.19,1445.66
45393.125,1.05,28.9,25.17,1445.63
45393.14583,1.05,28.92,25.19,1445.66
45393.16667,1.05,28.9,25.17,1445.63
45393.1875,1.01,28.94,25.17,1445.5
45393.20833,1.01,28.94,25.17,1445.5
45393.22917,0.97,28.96,25.16,1445.35
45393.25,0.97,28.96,25.16,1445.35
45393.27083,0.93,28.98,25.14,1445.19
45393.29167,0.89,28.97,25.11,1445
45393.3125,0.89,28.97,25.11,1445
45393.33333,0.86,28.99,25.09,1444.85
45393.35417,0.86,28.99,25.09,1444.85
45393.375,0.86,28.99,25.09,1444.85
45393.39583,0.86,28.99,25.09,1444.85
45393.41667,0.86,28.99,25.09,1444.85
45393.4375,0.86,28.97,25.08,1444.82
45393.45833,0.86,28.97,25.08,1444.82
45393.47917,0.86,28.97,25.08,1444.82
45393.5,0.86,28.99,25.09,1444.85
45393.52083,0.86,28.97,25.08,1444.82
45393.54167,0.86,28.95,25.06,1444.79
45393.5625,0.86,28.95,25.06,1444.79
45393.58333,0.86,28.95,25.06,1444.79
45393.60417,0.86,28.93,25.05,1444.76
45393.625,0.86,28.95,25.06,1444.79
45393.64583,0.86,28.93,25.05,1444.76
45393.66667,0.89,28.89,25.04,1444.89
45393.6875,0.89,28.85,25.01,1444.84
45393.70833,0.89,28.85,25.01,1444.84
45393.72917,0.89,28.87,25.03,1444.87
45393.75,0.89,28.87,25.03,1444.87
45393.77083,0.89,28.87,25.03,1444.87
45393.79167,0.86,28.89,25.01,1444.71
45393.8125,0.86,28.89,25.01,1444.71
45393.83333,0.86,28.89,25.01,1444.71
45393.85417,0.82,28.9,25,1444.55
45393.875,0.82,28.92,25.01,1444.58
45393.89583,0.82,28.92,25.01,1444.58
45393.91667,0.82,28.92,25.01,1444.58
45393.9375,0.82,28.92,25.01,1444.58
45393.95833,0.82,28.92,25.01,1444.58
45393.97917,0.82,28.9,25,1444.55
45394,0.82,28.9,25,1444.55
45394.02083,0.82,28.88,24.98,1444.52
45394.04167,0.82,28.82,24.93,1444.44
45394.0625,0.82,28.82,24.93,1444.44
45394.08333,0.82,28.72,24.85,1444.3
45394.10417,0.82,28.66,24.8,1444.22
45394.125,0.82,28.68,24.82,1444.25
45394.14583,0.86,28.64,24.82,1444.38
45394.16667,0.86,28.66,24.83,1444.41
45394.1875,0.86,28.64,24.82,1444.38
45394.20833,0.86,28.66,24.83,1444.41
45394.22917,0.86,28.66,24.83,1444.41
45394.25,0.86,28.66,24.83,1444.41
45394.27083,0.86,28.68,24.85,1444.43
45394.29167,0.86,28.7,24.87,1444.46
45394.3125,0.86,28.68,24.85,1444.43
45394.33333,0.74,28.73,24.81,1443.96
45394.35417,0.7,28.73,24.77,1443.78
45394.375,0.66,28.77,24.78,1443.65
45394.39583,0.66,28.75,24.76,1443.62
45394.41667,0.66,28.75,24.76,1443.62
45394.4375,0.62,28.79,24.76,1443.49
45394.45833,0.62,28.77,24.74,1443.46
45394.47917,0.58,28.81,24.75,1443.33
45394.5,0.58,28.81,24.75,1443.33
45394.52083,0.62,28.79,24.76,1443.49
45394.54167,0.66,28.75,24.76,1443.62
45394.5625,0.66,28.77,24.78,1443.65
45394.58333,0.66,28.79,24.79,1443.67
45394.60417,0.66,28.79,24.79,1443.67
45394.625,0.7,28.75,24.79,1443.8
45394.64583,0.7,28.79,24.82,1443.86
45394.66667,0.7,28.79,24.82,1443.86
45394.6875,0.74,28.8,24.85,1444.04
45394.70833,0.78,28.8,24.88,1444.23
45394.72917,0.74,28.8,24.85,1444.04
45394.75,0.7,28.83,24.86,1443.91
45394.77083,0.66,28.81,24.81,1443.7
45394.79167,0.66,28.83,24.82,1443.73
45394.8125,0.66,28.81,24.81,1443.7
45394.83333,0.62,28.85,24.81,1443.57
45394.85417,0.66,28.83,24.82,1443.73
45394.875,0.66,28.85,24.84,1443.75
45394.89583,0.66,28.85,24.84,1443.75
45394.91667,0.7,28.81,24.84,1443.89
45394.9375,0.7,28.85,24.87,1443.94
45394.95833,0.74,28.82,24.87,1444.07
45394.97917,0.7,28.83,24.86,1443.91
45395,0.66,28.83,24.82,1443.73
45395.02083,0.66,28.83,24.82,1443.73
45395.04167,0.66,28.81,24.81,1443.7
45395.0625,0.66,28.83,24.82,1443.73
45395.08333,0.66,28.83,24.82,1443.73
45395.10417,0.7,28.83,24.86,1443.91
45395.125,0.66,28.87,24.86,1443.78
45395.14583,0.58,28.89,24.81,1443.44
45395.16667,0.58,28.85,24.78,1443.38
45395.1875,0.54,28.89,24.78,1443.25
45395.20833,0.58,28.89,24.81,1443.44
45395.22917,0.58,28.93,24.84,1443.49
45395.25,0.58,28.93,24.84,1443.49
45395.27083,0.58,28.91,24.83,1443.47
45395.29167,0.54,28.95,24.83,1443.33
45395.3125,0.54,28.93,24.81,1443.31
45395.33333,0.54,28.91,24.8,1443.28
45395.35417,0.5,28.95,24.8,1443.15
45395.375,0.5,28.95,24.8,1443.15
45395.39583,0.46,28.97,24.78,1442.99
45395.41667,0.46,28.94,24.77,1442.96
45395.4375,0.46,28.97,24.78,1442.99
45395.45833,0.46,28.97,24.78,1442.99
45395.47917,0.46,28.94,24.77,1442.96
45395.5,0.46,28.94,24.77,1442.96
45395.52083,0.46,28.97,24.78,1442.99
45395.54167,0.46,28.97,24.78,1442.99
45395.5625,0.46,28.94,24.77,1442.96
45395.58333,0.5,28.93,24.78,1443.12
45395.60417,0.5,28.93,24.78,1443.12
45395.625,0.5,28.93,24.78,1443.12
45395.64583,0.54,28.93,24.81,1443.31
45395.66667,0.58,28.91,24.83,1443.47
45395.6875,0.62,28.89,24.84,1443.62
45395.70833,0.66,28.89,24.87,1443.81
