recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,00:00:00,1.04,29.24,25.43,1446.03,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,00:29:59,1.04,29.01,25.25,1445.73,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,01:00:00,1.04,29.08,25.3,1445.81,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,01:30:00,1.04,29.01,25.25,1445.73,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,01:59:59,1.04,28.92,25.17,1445.6,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,02:30:00,1.04,28.95,25.2,1445.64,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,03:00:00,1.04,29.01,25.25,1445.73,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,03:29:59,1.04,28.85,25.12,1445.51,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,04:00:00,1.04,28.98,25.23,1445.68,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,04:30:00,1,28.86,25.1,1445.34,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,04:59:59,0.96,28.66,24.92,1444.9,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,05:30:00,0.96,28.96,25.15,1445.29,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,06:00:00,0.96,29.12,25.28,1445.51,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,06:29:59,0.96,28.86,25.07,1445.16,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,07:00:00,0.96,28.76,24.99,1445.03,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,07:30:00,0.96,28.76,24.99,1445.03,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,07:59:59,0.96,29.12,25.28,1445.51,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,08:30:00,0.96,28.92,25.12,1445.25,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,09:00:00,0.96,29.22,25.35,1445.64,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,09:29:59,0.96,29.28,25.4,1445.72,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,10:00:00,0.96,29.28,25.4,1445.72,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,10:30:00,0.96,29.22,25.35,1445.64,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,10:59:59,0.96,29.19,25.33,1445.59,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,11:30:00,0.96,29.28,25.4,1445.72,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,12:00:00,0.96,29.25,25.38,1445.68,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,12:29:59,0.96,29.25,25.38,1445.68,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,13:00:00,0.92,29.25,25.35,1445.5,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,13:30:00,0.88,29.29,25.35,1445.37,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,13:59:59,0.84,29.3,25.33,1445.19,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,14:30:00,0.8,29.33,25.32,1445.06,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,15:00:00,0.8,29.33,25.32,1445.06,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,15:29:59,0.76,29.37,25.32,1444.93,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,16:00:00,0.72,29.37,25.3,1444.75,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,16:30:00,0.72,29.28,25.22,1444.62,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,16:59:59,0.68,29.41,25.3,1444.62,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,17:30:00,0.64,29.38,25.25,1444.39,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,18:00:00,0.64,29.35,25.22,1444.35,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,18:29:59,0.64,29.35,25.22,1444.35,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,19:00:00,0.6,29.42,25.24,1444.26,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,19:30:00,0.6,29.42,25.24,1444.26,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,19:59:59,0.6,29.45,25.27,1444.3,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,20:30:00,0.6,29.45,25.27,1444.3,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,21:00:00,0.6,29.45,25.27,1444.3,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,21:29:59,0.6,29.45,25.27,1444.3,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,22:00:00,0.64,29.42,25.27,1444.44,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,22:30:00,0.64,29.35,25.22,1444.35,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,22:59:59,0.64,29.42,25.27,1444.44,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,8,2024-04-08,23:30:00,0.64,29.42,25.27,1444.44,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,00:00:00,0.64,29.42,25.27,1444.44,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,00:29:59,0.68,29.38,25.27,1444.57,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,01:00:00,0.68,29.35,25.25,1444.53,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,01:30:00,0.72,29.34,25.27,1444.71,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,01:59:59,0.72,29.31,25.25,1444.66,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,02:30:00,0.68,29.38,25.27,1444.57,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,03:00:00,0.68,29.38,25.27,1444.57,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,03:29:59,0.64,29.42,25.27,1444.44,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,04:00:00,0.64,29.42,25.27,1444.44,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,04:30:00,0.64,29.45,25.3,1444.48,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,04:59:59,0.68,29.41,25.3,1444.62,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,05:30:00,0.72,29.34,25.27,1444.71,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,06:00:00,0.84,29.33,25.35,1445.24,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,06:29:59,0.92,29.25,25.35,1445.5,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,07:00:00,0.96,29.28,25.4,1445.72,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,07:30:00,0.96,28.99,25.17,1445.33,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,07:59:59,0.96,29.25,25.38,1445.68,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,08:30:00,0.96,29.25,25.38,1445.68,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,09:00:00,0.96,29.09,25.25,1445.46,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,09:29:59,1,29.08,25.28,1445.64,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,10:00:00,1,29.25,25.41,1445.85,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,10:30:00,1.04,29.21,25.41,1445.99,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,10:59:59,1.04,29.11,25.33,1445.86,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,11:30:00,1.08,29.17,25.41,1446.12,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,12:00:00,1.08,28.95,25.23,1445.82,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,12:29:59,1.12,29.07,25.36,1446.16,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,13:00:00,1.12,28.88,25.2,1445.91,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,13:30:00,1.12,28.81,25.15,1445.82,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,13:59:59,1.16,28.71,25.1,1445.87,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,14:30:00,1.16,28.45,24.89,1445.52,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,15:00:00,1.2,28.19,24.71,1445.35,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,15:29:59,1.2,28.29,24.79,1445.48,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,16:00:00,1.24,28.22,24.76,1445.57,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,16:30:00,1.2,28.19,24.71,1445.35,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,16:59:59,1.16,28.19,24.69,1445.18,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,17:30:00,1.16,28.68,25.07,1445.82,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,18:00:00,1.16,28.52,24.94,1445.61,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,18:29:59,1.12,28.65,25.02,1445.6,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,19:00:00,1.08,28.52,24.89,1445.26,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,19:30:00,1.08,28.43,24.81,1445.13,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,19:59:59,1.04,28.72,25.02,1445.34,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,20:30:00,1,28.6,24.89,1444.99,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,21:00:00,1,28.34,24.68,1444.64,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,21:29:59,1,28.47,24.79,1444.82,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,22:00:00,1,28.5,24.81,1444.86,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,22:30:00,1,28.6,24.89,1444.99,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,22:59:59,1,28.47,24.79,1444.82,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,9,2024-04-09,23:30:00,1,28.6,24.89,1444.99,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,00:00:00,1,28.69,24.97,1445.12,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,00:29:59,1,28.66,24.94,1445.08,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,01:00:00,1,28.92,25.15,1445.42,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,01:30:00,0.96,28.86,25.07,1445.16,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,01:59:59,0.96,28.63,24.89,1444.86,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,02:30:00,0.96,28.89,25.1,1445.2,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,03:00:00,0.96,28.21,24.55,1444.29,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,03:29:59,0.96,27.82,24.24,1443.77,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,04:00:00,0.96,27.79,24.22,1443.73,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,04:30:00,0.96,28.14,24.5,1444.21,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,04:59:59,0.96,28.14,24.5,1444.21,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,05:30:00,0.96,28.34,24.66,1444.47,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,06:00:00,0.96,28.21,24.55,1444.29,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,06:29:59,0.96,28.08,24.45,1444.12,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,07:00:00,0.96,28.21,24.55,1444.29,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,07:30:00,0.96,28.76,24.99,1445.03,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,07:59:59,0.96,28.6,24.86,1444.81,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,08:30:00,0.96,28.66,24.92,1444.9,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,09:00:00,0.96,28.7,24.94,1444.94,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,09:29:59,0.96,28.57,24.84,1444.77,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,10:00:00,0.96,28.11,24.48,1444.16,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,10:30:00,0.96,28.73,24.97,1444.99,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,10:59:59,0.96,29.02,25.2,1445.38,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,11:30:00,0.96,29.28,25.4,1445.72,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,12:00:00,0.96,29.19,25.33,1445.59,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,12:29:59,1,29.34,25.48,1445.98,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,13:00:00,1,29.34,25.48,1445.98,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,13:30:00,1,29.34,25.48,1445.98,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,13:59:59,1,29.31,25.46,1445.94,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,14:30:00,1.04,29.31,25.48,1446.12,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,15:00:00,1.04,29.34,25.51,1446.16,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,15:29:59,1.04,29.34,25.51,1446.16,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,16:00:00,1.04,29.24,25.43,1446.03,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,16:30:00,1.04,29.24,25.43,1446.03,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,16:59:59,1,29.38,25.51,1446.03,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,17:30:00,0.96,29.41,25.51,1445.9,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,18:00:00,0.96,29.35,25.46,1445.81,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,18:29:59,0.96,29.28,25.4,1445.72,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,19:00:00,0.96,29.38,25.48,1445.85,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,19:30:00,0.96,29.35,25.46,1445.81,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,19:59:59,0.96,29.15,25.3,1445.55,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,20:30:00,0.96,29.35,25.46,1445.81,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,21:00:00,0.96,29.35,25.46,1445.81,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,21:29:59,0.96,29.19,25.33,1445.59,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,22:00:00,0.96,29.25,25.38,1445.68,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,22:30:00,0.96,29.28,25.4,1445.72,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,22:59:59,0.96,29.35,25.46,1445.81,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,10,2024-04-10,23:30:00,0.96,29.45,25.53,1445.94,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,00:00:00,0.96,29.48,25.56,1445.98,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,00:29:59,0.96,29.45,25.53,1445.94,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,01:00:00,0.96,29.48,25.56,1445.98,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,01:30:00,0.96,29.51,25.58,1446.03,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,01:59:59,0.96,29.45,25.53,1445.94,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,02:30:00,0.96,29.48,25.56,1445.98,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,03:00:00,0.96,29.45,25.53,1445.94,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,03:29:59,0.96,29.48,25.56,1445.98,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,04:00:00,0.92,29.52,25.56,1445.85,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,04:30:00,0.88,29.52,25.53,1445.67,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,04:59:59,0.88,29.49,25.51,1445.63,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,05:30:00,0.84,29.56,25.53,1445.54,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,06:00:00,0.84,29.56,25.53,1445.54,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,06:29:59,0.84,29.52,25.51,1445.5,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,07:00:00,0.84,29.56,25.53,1445.54,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,07:30:00,0.84,29.56,25.53,1445.54,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,07:59:59,0.84,29.56,25.53,1445.54,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,08:30:00,0.84,29.56,25.53,1445.54,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,09:00:00,0.84,29.56,25.53,1445.54,JV
Star-Oddi DST CT,s12321,"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,4,11,2024-04-11,09:29:59,0.84,29.52,25.51,1445.5,JV
