"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"08:00:00 PM",18.14,5.98,9.14,1482.7
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"08:30:00 PM",18.14,5.98,9.14,1482.7
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"09:00:00 PM",18.14,5.98,9.14,1482.7
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"09:30:00 PM",18.11,5.98,9.14,1482.61
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"10:00:00 PM",18.11,5.98,9.14,1482.61
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"10:30:00 PM",18.11,5.98,9.14,1482.61
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"11:00:00 PM",18.08,5.99,9.14,1482.52
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"11:30:00 PM",18.08,5.99,9.14,1482.52
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"12:00:00 AM",18.08,5.99,9.14,1482.52
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"12:30:00 AM",18.05,5.99,9.14,1482.43
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"01:00:00 AM",18.02,5.99,9.14,1482.34
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"01:30:00 AM",18.02,5.99,9.14,1482.34
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"02:00:00 AM",17.99,6.01,9.16,1482.26
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"02:30:00 AM",17.99,6.01,9.16,1482.26
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"03:00:00 AM",17.96,6.01,9.16,1482.17
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"03:30:00 AM",17.96,6.01,9.16,1482.17
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"04:00:00 AM",17.93,6.02,9.16,1482.08
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"04:30:00 AM",17.93,6.02,9.16,1482.08
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"05:00:00 AM",17.96,6.01,9.16,1482.17
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"05:30:00 AM",17.96,6.01,9.16,1482.17
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"06:00:00 AM",18.02,5.99,9.14,1482.34
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"06:30:00 AM",18.14,5.98,9.14,1482.7
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"07:00:00 AM",18.2,5.96,9.12,1482.86
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"07:30:00 AM",18.23,5.95,9.12,1482.95
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"08:00:00 AM",18.26,5.95,9.12,1483.04
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"08:30:00 AM",18.26,5.95,9.12,1483.04
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"09:00:00 AM",18.26,5.95,9.12,1483.04
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"09:30:00 AM",18.29,5.94,9.12,1483.13
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"10:00:00 AM",18.34,5.94,9.12,1483.31
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"10:30:00 AM",18.4,5.91,9.11,1483.48
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"11:00:00 AM",18.43,5.91,9.11,1483.57
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"11:30:00 AM",18.46,5.91,9.11,1483.66
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"12:00:00 PM",18.49,5.9,9.11,1483.75
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"12:30:00 PM",18.52,5.9,9.11,1483.84
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"01:00:00 PM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"01:30:00 PM",18.58,5.88,9.09,1484
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"02:00:00 PM",18.61,5.87,9.09,1484.09
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"02:30:00 PM",18.64,5.87,9.09,1484.18
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"03:00:00 PM",18.64,5.87,9.09,1484.18
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"03:30:00 PM",18.64,5.87,9.09,1484.18
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"04:00:00 PM",18.61,5.87,9.09,1484.09
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"04:30:00 PM",18.61,5.87,9.09,1484.09
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"05:00:00 PM",18.58,5.88,9.09,1484
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"05:30:00 PM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"06:00:00 PM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"06:30:00 PM",18.49,5.9,9.11,1483.75
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"07:00:00 PM",18.49,5.9,9.11,1483.75
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,1,2022-07-01,"07:30:00 PM",18.46,5.91,9.11,1483.66
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"08:00:00 PM",18.43,5.91,9.11,1483.57
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"08:30:00 PM",18.43,5.91,9.11,1483.57
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"09:00:00 PM",18.4,5.91,9.11,1483.48
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"09:30:00 PM",18.37,5.92,9.11,1483.39
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"10:00:00 PM",18.37,5.92,9.11,1483.39
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"10:30:00 PM",18.34,5.94,9.12,1483.31
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"11:00:00 PM",18.34,5.94,9.12,1483.31
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"11:30:00 PM",18.31,5.94,9.12,1483.22
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"12:00:00 AM",18.31,5.94,9.12,1483.22
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"12:30:00 AM",18.29,5.94,9.12,1483.13
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"01:00:00 AM",18.26,5.95,9.12,1483.04
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"01:30:00 AM",18.26,5.95,9.12,1483.04
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"02:00:00 AM",18.23,5.95,9.12,1482.95
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"02:30:00 AM",18.2,5.96,9.12,1482.86
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"03:00:00 AM",18.2,5.96,9.12,1482.86
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"03:30:00 AM",18.17,5.97,9.14,1482.79
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"04:00:00 AM",18.17,5.97,9.14,1482.79
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"04:30:00 AM",18.14,5.98,9.14,1482.7
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"05:00:00 AM",18.17,5.97,9.14,1482.79
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"05:30:00 AM",18.26,5.95,9.12,1483.04
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"06:00:00 AM",18.34,5.94,9.12,1483.31
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"06:30:00 AM",18.43,5.91,9.11,1483.57
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"07:00:00 AM",18.49,5.9,9.11,1483.75
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"07:30:00 AM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"08:00:00 AM",18.61,5.87,9.09,1484.09
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"08:30:00 AM",18.64,5.87,9.09,1484.18
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"09:00:00 AM",18.58,5.88,9.09,1484
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"09:30:00 AM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"10:00:00 AM",18.49,5.9,9.11,1483.75
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"10:30:00 AM",18.49,5.9,9.11,1483.75
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"11:00:00 AM",18.49,5.9,9.11,1483.75
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"11:30:00 AM",18.49,5.9,9.11,1483.75
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"12:00:00 PM",18.49,5.9,9.11,1483.75
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"12:30:00 PM",18.49,5.9,9.11,1483.75
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"01:00:00 PM",18.52,5.9,9.11,1483.84
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"01:30:00 PM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"02:00:00 PM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"02:30:00 PM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"03:00:00 PM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"03:30:00 PM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"04:00:00 PM",18.58,5.88,9.09,1484
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"04:30:00 PM",18.58,5.88,9.09,1484
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"05:00:00 PM",18.61,5.87,9.09,1484.09
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"05:30:00 PM",18.61,5.87,9.09,1484.09
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"06:00:00 PM",18.64,5.87,9.09,1484.18
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"06:30:00 PM",18.64,5.87,9.09,1484.18
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"07:00:00 PM",18.64,5.87,9.09,1484.18
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,2,2022-07-02,"07:30:00 PM",18.67,5.87,9.09,1484.27
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"08:00:00 PM",18.67,5.87,9.09,1484.27
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"08:30:00 PM",18.7,5.86,9.09,1484.36
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"09:00:00 PM",18.7,5.86,9.09,1484.36
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"09:30:00 PM",18.7,5.86,9.09,1484.36
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"10:00:00 PM",18.7,5.86,9.09,1484.36
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"10:30:00 PM",18.67,5.87,9.09,1484.27
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"11:00:00 PM",18.67,5.87,9.09,1484.27
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"11:30:00 PM",18.64,5.87,9.09,1484.18
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"12:00:00 AM",18.64,5.87,9.09,1484.18
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"12:30:00 AM",18.61,5.87,9.09,1484.09
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"01:00:00 AM",18.58,5.88,9.09,1484
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"01:30:00 AM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"02:00:00 AM",18.55,5.88,9.09,1483.91
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"02:30:00 AM",18.52,5.9,9.11,1483.84
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"03:00:00 AM",18.49,5.9,9.11,1483.75
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"03:30:00 AM",18.46,5.91,9.11,1483.66
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"04:00:00 AM",18.43,5.91,9.11,1483.57
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"04:30:00 AM",18.43,5.91,9.11,1483.57
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"05:00:00 AM",18.43,5.91,9.11,1483.57
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"05:30:00 AM",18.43,5.91,9.11,1483.57
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"06:00:00 AM",18.43,5.91,9.11,1483.57
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"06:30:00 AM",18.46,5.91,9.11,1483.66
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"07:00:00 AM",18.73,5.86,9.09,1484.45
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"07:30:00 AM",19.03,5.79,9.05,1485.31
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"08:00:00 AM",19.32,5.74,9.04,1486.17
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"08:30:00 AM",19.59,5.69,9.02,1486.94
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"09:00:00 AM",19.83,5.65,9,1487.62
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"09:30:00 AM",20,5.61,8.98,1488.12
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"10:00:00 AM",20.15,5.58,8.97,1488.53
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"10:30:00 AM",20.27,5.55,8.95,1488.86
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"11:00:00 AM",20.39,5.53,8.93,1489.19
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"11:30:00 AM",20.47,5.52,8.93,1489.44
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"12:00:00 PM",20.56,5.49,8.91,1489.68
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"12:30:00 PM",20.62,5.49,8.91,1489.85
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"01:00:00 PM",20.65,5.48,8.91,1489.93
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"01:30:00 PM",20.68,5.48,8.91,1490.02
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"02:00:00 PM",20.68,5.48,8.91,1490.02
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"02:30:00 PM",20.71,5.47,8.91,1490.1
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"03:00:00 PM",20.71,5.47,8.91,1490.1
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"03:30:00 PM",20.71,5.46,8.89,1490.09
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"04:00:00 PM",20.71,5.47,8.91,1490.1
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"04:30:00 PM",20.71,5.47,8.91,1490.1
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"05:00:00 PM",20.71,5.47,8.91,1490.1
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"05:30:00 PM",20.68,5.48,8.91,1490.02
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"06:00:00 PM",20.68,5.47,8.89,1490
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"06:30:00 PM",20.68,5.48,8.91,1490.02
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"07:00:00 PM",20.71,5.47,8.91,1490.1
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,3,2022-07-03,"07:30:00 PM",20.74,5.47,8.91,1490.18
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"08:00:00 PM",20.8,5.45,8.89,1490.34
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"08:30:00 PM",20.83,5.45,8.89,1490.42
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"09:00:00 PM",20.86,5.43,8.88,1490.49
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"09:30:00 PM",20.86,5.44,8.89,1490.51
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"10:00:00 PM",20.89,5.44,8.89,1490.59
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"10:30:00 PM",20.89,5.44,8.89,1490.59
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"11:00:00 PM",20.89,5.44,8.89,1490.59
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"11:30:00 PM",20.91,5.44,8.89,1490.67
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"12:00:00 AM",20.91,5.42,8.88,1490.66
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"12:30:00 AM",20.91,5.44,8.89,1490.67
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"01:00:00 AM",20.91,5.44,8.89,1490.67
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"01:30:00 AM",20.91,5.42,8.88,1490.66
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"02:00:00 AM",20.91,5.44,8.89,1490.67
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"02:30:00 AM",20.86,5.44,8.89,1490.51
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"03:00:00 AM",20.83,5.45,8.89,1490.42
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"03:30:00 AM",20.59,5.49,8.91,1489.76
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"04:00:00 AM",20.36,5.54,8.95,1489.11
"Star-Oddi DST CT","S11834","Alberton, P.E.I.",9,"B",9,46.7368,63.971,2022,7,4,2022-07-04,"04:30:00 AM",20.09,5.59,8.97,1488.36
