"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"12:00:00 AM",1.86,20.69,18.98,1438.4,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"12:29:59 AM",1.89,20.67,18.98,1438.54,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"01:00:00 AM",1.86,20.66,18.95,1438.35,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"01:30:00 AM",1.78,20.68,18.92,1438.02,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"01:59:59 AM",1.78,20.64,18.9,1437.97,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"02:30:00 AM",1.78,20.68,18.92,1438.02,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"03:00:00 AM",1.74,20.7,18.92,1437.87,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"03:29:59 AM",1.78,20.71,18.95,1438.06,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"04:00:00 AM",1.78,20.71,18.95,1438.06,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"04:30:00 AM",1.78,20.68,18.92,1438.02,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"04:59:59 AM",1.78,20.64,18.9,1437.97,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"05:30:00 AM",1.78,20.64,18.9,1437.97,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"06:00:00 AM",1.74,20.63,18.87,1437.78,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"06:29:59 AM",1.82,20.65,18.92,1438.16,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"07:00:00 AM",1.86,20.63,18.93,1438.31,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"07:30:00 AM",1.86,20.63,18.93,1438.31,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"07:59:59 AM",1.82,20.62,18.9,1438.12,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"08:30:00 AM",1.78,20.64,18.9,1437.97,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"09:00:00 AM",1.74,20.63,18.87,1437.78,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"09:29:59 AM",1.7,20.66,18.87,1437.64,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"10:00:00 AM",1.7,20.66,18.87,1437.64,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"10:30:00 AM",1.7,20.66,18.87,1437.64,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"10:59:59 AM",1.74,20.63,18.87,1437.78,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"11:30:00 AM",1.78,20.61,18.87,1437.93,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"12:00:00 PM",1.82,20.62,18.9,1438.12,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"12:29:59 PM",1.89,20.6,18.93,1438.45,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"01:00:00 PM",1.97,20.58,18.96,1438.78,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"01:30:00 PM",2.05,20.54,18.96,1439.07,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"01:59:59 PM",2.05,20.54,18.96,1439.07,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"02:30:00 PM",2.05,20.54,18.96,1439.07,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"03:00:00 PM",2.01,20.53,18.93,1438.88,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"03:29:59 PM",2.01,20.53,18.93,1438.88,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"04:00:00 PM",2.05,20.54,18.96,1439.07,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"04:30:00 PM",2.13,20.52,18.99,1439.4,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"04:59:59 PM",2.05,20.57,18.99,1439.12,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"05:30:00 PM",2.17,20.56,19.04,1439.64,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"06:00:00 PM",2.01,20.56,18.96,1438.93,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"06:29:59 PM",2.09,20.54,18.99,1439.26,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"07:00:00 PM",2.17,20.53,19.02,1439.59,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"07:30:00 PM",2.17,20.5,18.99,1439.55,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"07:59:59 PM",2.17,20.5,18.99,1439.55,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"08:30:00 PM",2.05,20.5,18.93,1439.03,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"09:00:00 PM",1.89,20.5,18.84,1438.31,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"09:29:59 PM",1.86,20.52,18.84,1438.17,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"10:00:00 PM",1.82,20.51,18.81,1437.98,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"10:30:00 PM",1.82,20.51,18.81,1437.98,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"10:59:59 PM",1.82,20.51,18.81,1437.98,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,8,2024-04-08,"11:30:00 PM",1.82,20.51,18.81,1437.98,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"12:00:00 AM",1.82,20.51,18.81,1437.98,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"12:29:59 AM",1.89,20.5,18.84,1438.31,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"01:00:00 AM",2.13,20.52,18.99,1439.4,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"01:30:00 AM",2.09,20.65,19.07,1439.4,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"01:59:59 AM",2.09,20.54,18.99,1439.26,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"02:30:00 AM",2.09,20.48,18.93,1439.17,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"03:00:00 AM",2.13,20.45,18.93,1439.31,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"03:29:59 AM",2.13,20.45,18.93,1439.31,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"04:00:00 AM",2.13,20.45,18.93,1439.31,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"04:30:00 AM",2.05,20.43,18.87,1438.94,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"04:59:59 AM",2.05,20.43,18.87,1438.94,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"05:30:00 AM",2.05,20.43,18.87,1438.94,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"06:00:00 AM",2.09,20.41,18.87,1439.08,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"06:29:59 AM",2.05,20.43,18.87,1438.94,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"07:00:00 AM",2.09,20.41,18.87,1439.08,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"07:30:00 AM",2.01,20.46,18.87,1438.79,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"07:59:59 AM",1.97,20.41,18.81,1438.56,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"08:30:00 AM",1.86,20.42,18.75,1438.03,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"09:00:00 AM",1.82,20.44,18.75,1437.89,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"09:29:59 AM",1.78,20.47,18.75,1437.74,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"10:00:00 AM",1.78,20.47,18.75,1437.74,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"10:30:00 AM",1.78,20.5,18.78,1437.79,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"10:59:59 AM",1.82,20.48,18.78,1437.93,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"11:30:00 AM",1.82,20.48,18.78,1437.93,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"12:00:00 PM",1.86,20.45,18.78,1438.08,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"12:29:59 PM",1.89,20.39,18.75,1438.18,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"01:00:00 PM",1.93,20.34,18.72,1438.28,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"01:30:00 PM",1.93,20.37,18.75,1438.32,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"01:59:59 PM",2.01,20.39,18.81,1438.7,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"02:30:00 PM",2.13,20.38,18.87,1439.22,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"03:00:00 PM",2.17,20.39,18.9,1439.41,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"03:29:59 PM",2.21,20.4,18.93,1439.6,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"04:00:00 PM",2.21,20.37,18.9,1439.55,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"04:30:00 PM",2.21,20.37,18.9,1439.55,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"04:59:59 PM",2.24,20.34,18.9,1439.7,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"05:30:00 PM",2.17,20.36,18.87,1439.37,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"06:00:00 PM",2.24,20.38,18.93,1439.74,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"06:29:59 PM",2.24,20.34,18.9,1439.7,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"07:00:00 PM",2.17,20.36,18.87,1439.37,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"07:30:00 PM",2.05,20.43,18.87,1438.94,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"07:59:59 PM",1.97,20.41,18.81,1438.56,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"08:30:00 PM",1.97,20.41,18.81,1438.56,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"09:00:00 PM",1.97,20.45,18.84,1438.6,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"09:29:59 PM",1.89,20.46,18.81,1438.27,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"10:00:00 PM",1.89,20.5,18.84,1438.31,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"10:30:00 PM",1.89,20.5,18.84,1438.31,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"10:59:59 PM",1.89,20.5,18.84,1438.31,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,9,2024-04-09,"11:30:00 PM",1.89,20.5,18.84,1438.31,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"12:00:00 AM",1.89,20.43,18.78,1438.22,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"12:29:59 AM",1.89,20.46,18.81,1438.27,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"01:00:00 AM",1.89,20.39,18.75,1438.18,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"01:30:00 AM",1.89,20.46,18.81,1438.27,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"01:59:59 AM",1.97,20.41,18.81,1438.56,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"02:30:00 AM",1.93,20.44,18.81,1438.41,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"03:00:00 AM",1.97,20.38,18.78,1438.51,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"03:29:59 AM",2.01,20.39,18.81,1438.7,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"04:00:00 AM",2.05,20.4,18.84,1438.89,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"04:30:00 AM",2.09,20.34,18.81,1438.99,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"04:59:59 AM",2.09,20.34,18.81,1438.99,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"05:30:00 AM",2.05,20.33,18.78,1438.8,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"06:00:00 AM",2.01,20.32,18.75,1438.61,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"06:29:59 AM",1.97,20.34,18.75,1438.47,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"07:00:00 AM",1.97,20.34,18.75,1438.47,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"07:30:00 AM",1.97,20.34,18.75,1438.47,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"07:59:59 AM",1.89,20.36,18.72,1438.13,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"08:30:00 AM",1.93,20.34,18.72,1438.28,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"09:00:00 AM",1.89,20.36,18.72,1438.13,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"09:29:59 AM",1.86,20.38,18.72,1437.99,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"10:00:00 AM",1.86,20.38,18.72,1437.99,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"10:30:00 AM",1.89,20.36,18.72,1438.13,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"10:59:59 AM",1.89,20.36,18.72,1438.13,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"11:30:00 AM",1.93,20.37,18.75,1438.32,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"12:00:00 PM",1.93,20.23,18.64,1438.14,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"12:29:59 PM",1.93,20.37,18.75,1438.32,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"01:00:00 PM",1.97,20.28,18.69,1438.38,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"01:30:00 PM",1.97,20.31,18.72,1438.42,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"01:59:59 PM",2.05,20.4,18.84,1438.89,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"02:30:00 PM",2.17,20.46,18.96,1439.5,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"03:00:00 PM",2.21,20.4,18.93,1439.6,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"03:29:59 PM",2.32,20.36,18.96,1440.07,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"04:00:00 PM",2.32,20.33,18.93,1440.03,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"04:30:00 PM",2.32,20.33,18.93,1440.03,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"04:59:59 PM",2.36,20.31,18.93,1440.17,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"05:30:00 PM",2.36,20.27,18.9,1440.12,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"06:00:00 PM",2.4,20.21,18.87,1440.22,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"06:29:59 PM",2.4,20.35,18.99,1440.4,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"07:00:00 PM",2.44,20.29,18.96,1440.5,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"07:30:00 PM",2.36,20.27,18.9,1440.12,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"07:59:59 PM",2.32,20.3,18.9,1439.98,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"08:30:00 PM",2.28,20.32,18.9,1439.84,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"09:00:00 PM",2.24,20.31,18.87,1439.65,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"09:29:59 PM",2.28,20.29,18.87,1439.79,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"10:00:00 PM",2.24,20.31,18.87,1439.65,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"10:30:00 PM",2.21,20.3,18.84,1439.46,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"10:59:59 PM",2.13,20.21,18.73,1439,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,10,2024-04-10,"11:30:00 PM",2.13,20.35,18.84,1439.18,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,11,2024-04-11,"12:00:00 AM",2.13,20.32,18.81,1439.13,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,11,2024-04-11,"12:29:59 AM",2.13,20.32,18.81,1439.13,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,11,2024-04-11,"01:00:00 AM",2.13,20.32,18.81,1439.13,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,11,2024-04-11,"01:30:00 AM",2.17,20.29,18.81,1439.28,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,11,2024-04-11,"01:59:59 AM",2.24,20.31,18.87,1439.65,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,11,2024-04-11,"02:30:00 AM",2.24,20.38,18.93,1439.74,"X5"
"Star-Oddi DST CT","s12305","Cape Tormentine, NB",15,"B",14,46.10944,63.68444,2024,4,11,2024-04-11,"03:00:00 AM",2.21,20.33,18.87,1439.51,"X5"
